Panel,Panel description,Controller,Device ID,Point Tag,I/O,System,Units,Description,Notes / Basis
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CS-T,AI,DHC interface,°C,Supply (CS) temp,DHC冷水受入 ~7°C
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CR-T,AI,DHC interface,°C,Return (CR) temp,DHC冷水返送
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CS-P,AI,DHC interface,MPa,Supply header pressure,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CR-P,AI,DHC interface,MPa,Return header pressure,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.FLW,AI,DHC interface,m³/h,Intake flow,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.GJ,AI,DHC interface,GJ,Thermal-energy meter,GJ/h + integrated; thermal-demand control
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CV,AO,DHC interface,%,Intake control valve,Modulate to building load
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.CVFB,AI,DHC interface,%,Intake valve position fb,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.ISOL,BO,DHC interface,-,Intake isolation valve open/close,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-01,DHC-CHW,DHC-CHW.ISOL-ST,BI,DHC interface,-,Isolation valve status,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.SS-P,AI,DHC interface,MPa,Supply (SS 8k) pressure,~0.8 MPa
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.MASS,AI,DHC interface,t/h,Steam mass-flow meter,t/h + integrated kg
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.PRV,AO,DHC interface,%,PRV 8k->2k reducing valve,0.8->0.2 MPa
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.SSH2-P,AI,DHC interface,MPa,Reduced (SSH 2k) pressure,~0.2 MPa
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.ISOL,BO,DHC interface,-,Main isolation valve open/close,Season enable + OA lockout
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.ISOL-ST,BI,DHC interface,-,Isolation valve status,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-02,DHC-STEAM,DHC-STEAM.HR-M,AI,DHC interface,L,Condensate (HR) return meter,Hot-return to DHC via HWT-1
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.LVL,AI,Heat source,%,Tank level,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.HI,BI,Heat source,-,High-level alarm,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.LO,BI,Heat source,-,Low-level alarm,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.T,AI,Heat source,°C,Condensate temp,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-03,HWT-1,HWT-1.MU,BO,Heat source,-,Make-up water valve,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-1,HP-5-1.RUN,BI,Heat source,-,Run status,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-1,HP-5-1.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-1,HP-5-1.SS,BO,Heat source,-,Start/Stop command,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-1,HP-5-1.SPD,AO,Heat source,%,VFD speed command,HP-5; HWT-1 -> DHC hot-return
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-1,HP-5-1.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-1,HP-5-1.KW,AI,Heat source,kW,Power,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-1,HP-5-1.FLW,BI,Heat source,-,Flow/DP proof,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-2,HP-5-2.RUN,BI,Heat source,-,Run status,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-2,HP-5-2.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-2,HP-5-2.SS,BO,Heat source,-,Start/Stop command,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-2,HP-5-2.SPD,AO,Heat source,%,VFD speed command,HP-5; HWT-1 -> DHC hot-return
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-2,HP-5-2.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-2,HP-5-2.KW,AI,Heat source,kW,Power,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-5-2,HP-5-2.FLW,BI,Heat source,-,Flow/DP proof,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-3-1,HP-3-1.RUN,BI,Heat source,-,Run status,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-3-1,HP-3-1.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-3-1,HP-3-1.SS,BO,Heat source,-,Start/Stop command,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-3-1,HP-3-1.SPD,AO,Heat source,%,VFD speed command,HP-3; serves B1F 厨房 AC-5/6/7
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-3-1,HP-3-1.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-3-1,HP-3-1.KW,AI,Heat source,kW,Power,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-04,HP-3-1,HP-3-1.FLW,BI,Heat source,-,Flow/DP proof,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-05,HP-3-2,HP-3-2.RUN,BI,Heat source,-,Run status,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-05,HP-3-2,HP-3-2.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-05,HP-3-2,HP-3-2.SS,BO,Heat source,-,Start/Stop command,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-05,HP-3-2,HP-3-2.SPD,AO,Heat source,%,VFD speed command,HP-3; serves B1F 厨房 AC-5/6/7
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-05,HP-3-2,HP-3-2.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-05,HP-3-2,HP-3-2.KW,AI,Heat source,kW,Power,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-05,HP-3-2,HP-3-2.FLW,BI,Heat source,-,Flow/DP proof,
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-06,MTR-ELEC-MAIN,MTR-ELEC-MAIN,AI,Metering,kWh,Main electricity (kWh),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-06,MTR-GAS-MAIN,MTR-GAS-MAIN,AI,Metering,m³,City gas (m³),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-06,MTR-WATER-MAIN,MTR-WATER-MAIN,AI,Metering,m³,City water (m³),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-07,MTR-DHC-CHW,MTR-DHC-CHW,AI,Metering,GJ,DHC chilled-water energy (受入),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-07,MTR-DHC-STEAM,MTR-DHC-STEAM,AI,Metering,t/h,DHC steam energy (受入),Integrating meter; thermal-demand & peak limiting
LCP-DHC,DHC intake & hot-well panel,DDC-DHC-07,MTR-DHC-COND,MTR-DHC-COND,AI,Metering,L,DHC condensate return (HR),Integrating meter; thermal-demand & peak limiting
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-1,CT-1-1.RUN,BI,Condenser water,-,Fan run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-1,CT-1-1.TRIP,BI,Condenser water,-,Fan INV fault,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-1,CT-1-1.SS,BO,Condenser water,-,Fan start/stop,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-1,CT-1-1.SPD,AO,Condenser water,%,Fan VFD speed command,Wet-bulb + approach reset
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-1,CT-1-1.SPDFB,AI,Condenser water,%,Fan speed feedback,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-2,CT-1-2.RUN,BI,Condenser water,-,Fan run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-2,CT-1-2.TRIP,BI,Condenser water,-,Fan INV fault,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-2,CT-1-2.SS,BO,Condenser water,-,Fan start/stop,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-2,CT-1-2.SPD,AO,Condenser water,%,Fan VFD speed command,Wet-bulb + approach reset
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1-2,CT-1-2.SPDFB,AI,Condenser water,%,Fan speed feedback,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1,CT-1.LVL,AI,Condenser water,%,Basin water level,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1,CT-1.MU,BO,Condenser water,-,Make-up water valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1,CT-1.BLD,BO,Condenser water,-,Bleed/blowdown valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1,CT-1.DRY,BI,Condenser water,-,Low-water (渇水) alarm,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1,CT-1.CHEM,BI,Condenser water,-,Chemical dosing (薬注) batch fault,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-01,CT-1,CT-1.EH,BO,Condenser water,-,Basin heater (E/H) enable,Freeze protection
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-1,CT-2-1.RUN,BI,Condenser water,-,Fan run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-1,CT-2-1.TRIP,BI,Condenser water,-,Fan INV fault,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-1,CT-2-1.SS,BO,Condenser water,-,Fan start/stop,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-1,CT-2-1.SPD,AO,Condenser water,%,Fan VFD speed command,Wet-bulb + approach reset
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-1,CT-2-1.SPDFB,AI,Condenser water,%,Fan speed feedback,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-2,CT-2-2.RUN,BI,Condenser water,-,Fan run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-2,CT-2-2.TRIP,BI,Condenser water,-,Fan INV fault,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-2,CT-2-2.SS,BO,Condenser water,-,Fan start/stop,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-2,CT-2-2.SPD,AO,Condenser water,%,Fan VFD speed command,Wet-bulb + approach reset
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2-2,CT-2-2.SPDFB,AI,Condenser water,%,Fan speed feedback,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2,CT-2.LVL,AI,Condenser water,%,Basin water level,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2,CT-2.MU,BO,Condenser water,-,Make-up water valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2,CT-2.BLD,BO,Condenser water,-,Bleed/blowdown valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2,CT-2.DRY,BI,Condenser water,-,Low-water (渇水) alarm,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2,CT-2.CHEM,BI,Condenser water,-,Chemical dosing (薬注) batch fault,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2,CT-2.EH,BO,Condenser water,-,Basin heater (E/H) enable,Freeze protection
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2,CT-2.FILT-RUN,BI,Condenser water,-,Filtration (ろ過) pump run,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-02,CT-2,CT-2.FILT-SS,BO,Condenser water,-,Filtration pump start/stop,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3-1,CT-3-1.RUN,BI,Condenser water,-,Fan run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3-1,CT-3-1.TRIP,BI,Condenser water,-,Fan INV fault,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3-1,CT-3-1.SS,BO,Condenser water,-,Fan start/stop,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3-1,CT-3-1.SPD,AO,Condenser water,%,Fan VFD speed command,Wet-bulb + approach reset
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3-1,CT-3-1.SPDFB,AI,Condenser water,%,Fan speed feedback,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3,CT-3.LVL,AI,Condenser water,%,Basin water level,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3,CT-3.MU,BO,Condenser water,-,Make-up water valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3,CT-3.BLD,BO,Condenser water,-,Bleed/blowdown valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3,CT-3.DRY,BI,Condenser water,-,Low-water (渇水) alarm,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3,CT-3.CHEM,BI,Condenser water,-,Chemical dosing (薬注) batch fault,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-03,CT-3,CT-3.EH,BO,Condenser water,-,Basin heater (E/H) enable,Freeze protection
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-1,CDP-1-1.RUN,BI,Condenser water,-,Run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-1,CDP-1-1.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-1,CDP-1-1.SS,BO,Condenser water,-,Start/Stop command,Group start (群起動); interlock w/ CT + load
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-1,CDP-1-1.FLW,BI,Condenser water,-,Flow/DP proof,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-2,CDP-1-2.RUN,BI,Condenser water,-,Run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-2,CDP-1-2.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-2,CDP-1-2.SS,BO,Condenser water,-,Start/Stop command,Group start (群起動); interlock w/ CT + load
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-2,CDP-1-2.FLW,BI,Condenser water,-,Flow/DP proof,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-3,CDP-1-3.RUN,BI,Condenser water,-,Run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-3,CDP-1-3.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-3,CDP-1-3.SS,BO,Condenser water,-,Start/Stop command,Group start (群起動); interlock w/ CT + load
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-04,CDP-1-3,CDP-1-3.FLW,BI,Condenser water,-,Flow/DP proof,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-1,CDP-2-1.RUN,BI,Condenser water,-,Run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-1,CDP-2-1.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-1,CDP-2-1.SS,BO,Condenser water,-,Start/Stop command,Group start (群起動); interlock w/ CT + load
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-1,CDP-2-1.FLW,BI,Condenser water,-,Flow/DP proof,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-2,CDP-2-2.RUN,BI,Condenser water,-,Run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-2,CDP-2-2.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-2,CDP-2-2.SS,BO,Condenser water,-,Start/Stop command,Group start (群起動); interlock w/ CT + load
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-2-2,CDP-2-2.FLW,BI,Condenser water,-,Flow/DP proof,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-3-1,CDP-3-1.RUN,BI,Condenser water,-,Run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-3-1,CDP-3-1.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-3-1,CDP-3-1.SS,BO,Condenser water,-,Start/Stop command,Group start (群起動); interlock w/ CT + load
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-05,CDP-3-1,CDP-3-1.FLW,BI,Condenser water,-,Flow/DP proof,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-06,CDP-3-2,CDP-3-2.RUN,BI,Condenser water,-,Run status,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-06,CDP-3-2,CDP-3-2.TRIP,BI,Condenser water,-,Fault / breaker trip,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-06,CDP-3-2,CDP-3-2.SS,BO,Condenser water,-,Start/Stop command,Group start (群起動); interlock w/ CT + load
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-06,CDP-3-2,CDP-3-2.FLW,BI,Condenser water,-,Flow/DP proof,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EX-1,EX-1.EN,BO,Condenser water,-,Free-cooling enable / changeover,Low wet-bulb winter free-cooling
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EX-1,EX-1.ST,AI,Condenser water,°C,CHW-side leaving temp,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EX-1,EX-1.CV,AO,Condenser water,%,CW-side control valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EMHX-1,EMHX-1.EN,BO,Condenser water,-,Emergency cooling enable,低層階非常用; from DHC冷水受入ヘッダ
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EMHX-1,EMHX-1.ST,AI,Condenser water,°C,Cooling-water leaving temp,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EMHX-1,EMHX-1.ISOL,BO,Condenser water,-,DHC-side isolation valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EMHX-2,EMHX-2.EN,BO,Condenser water,-,Emergency cooling enable,低層階非常用; from DHC冷水受入ヘッダ
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EMHX-2,EMHX-2.ST,AI,Condenser water,°C,Cooling-water leaving temp,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-07,EMHX-2,EMHX-2.ISOL,BO,Condenser water,-,DHC-side isolation valve,
LCP-CT,Cooling-tower & condenser-water panel,DDC-CT-08,MTR-CDW-KWH,MTR-CDW-KWH,AI,Metering,kWh,Cooling-tower/condenser sub-meter,Integrating meter; thermal-demand & peak limiting
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-01,EX-2-1,EX-2-1.P-IN,AI,Heat source,°C,Primary inlet temp (laundry),
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-01,EX-2-1,EX-2-1.S-OUT,AI,Heat source,°C,Secondary outlet (supply) temp,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-01,EX-2-1,EX-2-1.PV,AO,Heat source,%,Primary control valve,Modulate to hold S-OUT
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-01,EX-2-1,EX-2-1.PVFB,AI,Heat source,%,Primary valve position fb,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-01,EX-2-2,EX-2-2.P-IN,AI,Heat source,°C,Primary inlet temp (laundry),
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-01,EX-2-2,EX-2-2.S-OUT,AI,Heat source,°C,Secondary outlet (supply) temp,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-01,EX-2-2,EX-2-2.PV,AO,Heat source,%,Primary control valve,Modulate to hold S-OUT
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-01,EX-2-2,EX-2-2.PVFB,AI,Heat source,%,Primary valve position fb,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-1,CP-1-1.RUN,BI,Heat source,-,Run status,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-1,CP-1-1.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-1,CP-1-1.SS,BO,Heat source,-,Start/Stop command,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-1,CP-1-1.SPD,AO,Heat source,%,VFD speed command,CP-1; sequenced/群起動; VFD; DP-reset
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-1,CP-1-1.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-1,CP-1-1.KW,AI,Heat source,kW,Power,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-1,CP-1-1.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-2,CP-1-2.RUN,BI,Heat source,-,Run status,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-2,CP-1-2.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-2,CP-1-2.SS,BO,Heat source,-,Start/Stop command,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-2,CP-1-2.SPD,AO,Heat source,%,VFD speed command,CP-1; sequenced/群起動; VFD; DP-reset
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-2,CP-1-2.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-2,CP-1-2.KW,AI,Heat source,kW,Power,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-2,CP-1-2.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-3,CP-1-3.RUN,BI,Heat source,-,Run status,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-3,CP-1-3.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-3,CP-1-3.SS,BO,Heat source,-,Start/Stop command,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-3,CP-1-3.SPD,AO,Heat source,%,VFD speed command,CP-1; sequenced/群起動; VFD; DP-reset
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-3,CP-1-3.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-3,CP-1-3.KW,AI,Heat source,kW,Power,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-02,CP-1-3,CP-1-3.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-1,CP-4-1.RUN,BI,Heat source,-,Run status,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-1,CP-4-1.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-1,CP-4-1.SS,BO,Heat source,-,Start/Stop command,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-1,CP-4-1.SPD,AO,Heat source,%,VFD speed command,CP-4; open/close + duty rotation
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-1,CP-4-1.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-1,CP-4-1.KW,AI,Heat source,kW,Power,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-1,CP-4-1.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-2,CP-4-2.RUN,BI,Heat source,-,Run status,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-2,CP-4-2.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-2,CP-4-2.SS,BO,Heat source,-,Start/Stop command,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-2,CP-4-2.SPD,AO,Heat source,%,VFD speed command,CP-4; open/close + duty rotation
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-2,CP-4-2.SPDFB,AI,Heat source,%,VFD speed feedback,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-2,CP-4-2.KW,AI,Heat source,kW,Power,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-4-2,CP-4-2.FLW,BI,Heat source,-,Flow/DP proof,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-5-1,CP-5-1.RUN,BI,Heat source,-,Run status,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-5-1,CP-5-1.TRIP,BI,Heat source,-,VFD/pump fault,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-5-1,CP-5-1.SS,BO,Heat source,-,Start/Stop command,
LCP-HSL,Low-rise distribution panel (低層系統),DDC-HSL-03,CP-5-1,CP-5-1.SPD,AO,Heat source,%,VFD speed command,CP-5
